Id,Prediction
1,Colision_Vehiculos
2,Colision_Vehiculos
3,Colision_Vehiculos
4,Colision_Vehiculos
5,Salida_Via
6,Salida_Via
7,Colision_Vehiculos
8,Colision_Vehiculos
9,Salida_Via
10,Colision_Vehiculos
11,Colision_Vehiculos
12,Atropello
13,Colision_Vehiculos
14,Colision_Vehiculos
15,Colision_Vehiculos
16,Colision_Vehiculos
17,Colision_Vehiculos
18,Colision_Vehiculos
19,Colision_Vehiculos
20,Colision_Vehiculos
21,Colision_Vehiculos
22,Colision_Vehiculos
23,Salida_Via
24,Colision_Vehiculos
25,Colision_Vehiculos
26,Colision_Vehiculos
27,Colision_Vehiculos
28,Colision_Vehiculos
29,Colision_Vehiculos
30,Colision_Vehiculos
31,Colision_Vehiculos
32,Colision_Vehiculos
33,Colision_Vehiculos
34,Colision_Vehiculos
35,Colision_Vehiculos
36,Colision_Vehiculos
37,Colision_Vehiculos
38,Colision_Vehiculos
39,Colision_Vehiculos
40,Salida_Via
41,Colision_Vehiculos
42,Colision_Vehiculos
43,Colision_Vehiculos
44,Colision_Vehiculos
45,Colision_Vehiculos
46,Salida_Via
47,Colision_Vehiculos
48,Colision_Vehiculos
49,Colision_Vehiculos
50,Colision_Vehiculos
51,Colision_Vehiculos
52,Colision_Vehiculos
53,Colision_Vehiculos
54,Colision_Vehiculos
55,Colision_Vehiculos
56,Colision_Vehiculos
57,Colision_Vehiculos
58,Salida_Via
59,Colision_Vehiculos
60,Colision_Vehiculos
61,Salida_Via
62,Colision_Vehiculos
63,Colision_Vehiculos
64,Salida_Via
65,Colision_Vehiculos
66,Colision_Vehiculos
67,Colision_Vehiculos
68,Colision_Vehiculos
69,Colision_Vehiculos
70,Colision_Vehiculos
71,Colision_Vehiculos
72,Atropello
73,Salida_Via
74,Colision_Vehiculos
75,Colision_Vehiculos
76,Colision_Vehiculos
77,Colision_Vehiculos
78,Salida_Via
79,Colision_Vehiculos
80,Colision_Vehiculos
81,Salida_Via
82,Colision_Vehiculos
83,Salida_Via
84,Colision_Vehiculos
85,Colision_Vehiculos
86,Colision_Vehiculos
87,Colision_Vehiculos
88,Colision_Vehiculos
89,Colision_Vehiculos
